id,payor,payee,amount
0,Elizabeth Langer,Annette Pacheo,0.6
1,Charles Robinson,Kevin Jones,1.3
2,Terry Lizarraga,Lyman Leiby,311.5
3,Cesar Jones,Donna Sommer,141.8
4,Albert Lemasters,Dale Langan,1.3
5,Linda Lavoie,Joan Bailey,13.531
6,Robert Madonia,Raymond Samuel,1.8
7,Rita Snider,Sandra Dillingham,5.9
8,Maria Schappert,Kathleen Carter,35.7
9,Derek Eaton,Justina Mclaine,28.9
10,William Rogers,David Brochu,4.2
11,Reginald Whitrock,Helen Terhune,8.8
12,Stephen Gary,Erich Gaines,1.2
13,Henry Kunz,Jeffrey Mosley,32.0
14,Elizabeth Anderson,Francis Mendez,4.1
15,Janet Boyd,Janet Coles,0.6
16,Marilyn Timlin,Naomi Lee,298.6
17,Robert Jones,Tatiana Patterson,9.8
18,John Marquez,Kenneth Abreu,1.2
19,Tracy Ramirez,Joseph Richardson,2.5
20,Lorenzo Castillo,Norbert Sokoloski,7.1
21,Virginia Earvin,Leora Warmack,67.2
22,Robert Rich,Jennifer Martin,1.0
23,Darrel Whitmer,Belinda Jones,155.9
24,Alvin Miller,William Grant,8.2
25,Joseph Cohen,Donna Edwards,5.6
26,Sherri Derby,Hobert Ventura,5.3
27,Marion Duncan,Jean Oglesby,869.2
28,Alexander Gibson,Suzette Marston,0.2
29,Thomas Seay,Robert Jarvis,0.6
30,Janet Henry,Ahmad Stickney,5.8
31,Pauline Winstead,Daniel Nimox,0.1
32,Walter Keller,Allison Washington,0.1
33,Jeremiah Kopacz,Mark Deubner,1.8
34,Kenneth Abreu,Donald Gartin,51.6
35,Tina Reinke,Wendell Sprankle,2.0
36,Alvin Runk,David Lejeune,11.607
37,Belinda Jones,Michael Paxton,1.1
38,Ed Saenz,Mack Clawson,3.4
39,Thomas Miller,Teresa Milne,25.506999999999998
40,Nancy Neubauer,Shawn Butler,29.2
41,James Jarrett,Thelma Ervin,0.1
42,Alexander Huff,Teri Homer,3.9
43,Jimmy Winfrey,Diane Mcbride,155.6
44,Stephanie Flowers,Dave Burke,0.1
45,Willie Webster,Cindy Martin,1.3
46,Juan Mckenna,Freddie White,7.1
47,Charles Robinson,Cherie Taylor,3.2
48,Mary Wilson,Stephen Faust,154.8
49,Joan Bailey,Stephanie Mallette,5.8
50,Morgan Rowland,Roger Boehle,3.8
51,Chester Stiltner,Arthur Brown,7.0
52,Jeffrey Parrish,Thomas Vargas,92.5
53,Linda Wolfe,Janet Boyd,2.8
54,Debra Blank,Bruce Green,5.8
55,Vaughn Maresco,Curtis Garrison,77.386
56,Susan Mcgraw,Vi Seawright,4.8
57,Jose Butler,Judith Billings,374.0
58,Rita Conway,Alice Shay,10.071
59,Octavia Suarez,Gertrude Rizo,485.9
60,Eric Reece,Richelle Willis,4.8
61,Irma Copeland,Mike Peak,0.6
62,Roger Thomas,Amy Brown,2.9
